"season","team","wins","losses","ties","playoffs","game_type","probability_to_make_playoffs"
2019,"KC",12,4,0,1,"CHMP","99.54"
2019,"LA",9,7,0,0,NA,"43.96"
2019,"LAC",5,11,0,0,NA,"0.04"
2019,"MIA",5,11,0,0,NA,"0.04"
2019,"MIN",10,6,0,1,"DIV","83.60"
2019,"NE",12,4,0,1,"WC","99.54"
2019,"NO",13,3,0,1,"WC","99.93"
2019,"NYG",4,12,0,0,NA,"0.01"
2019,"NYJ",7,9,0,0,NA,"1.82"
2019,"OAK",7,9,0,0,NA,"1.82"
2019,"PHI",9,7,0,1,"WC","43.96"
2019,"PIT",8,8,0,0,NA,"10.77"
2019,"SEA",11,5,0,1,"DIV","97.07"
2019,"SF",13,3,0,1,"SB","99.93"
2019,"TB",7,9,0,0,NA,"1.82"
2019,"TEN",9,7,0,1,"CON","43.96"
2019,"WAS",3,13,0,0,NA,"0.00"
2020,"ARI",8,8,0,0,NA,"10.77"
2020,"ATL",4,12,0,0,NA,"0.01"
2020,"BAL",11,5,0,1,"DIV","97.07"
2020,"BUF",13,3,0,1,"CON","99.93"
2020,"CAR",5,11,0,0,NA,"0.04"
2020,"CHI",8,8,0,1,"WC","10.77"
2020,"CIN",4,11,1,0,NA,"0.01"
2020,"CLE",11,5,0,1,"DIV","97.07"
2020,"DAL",6,10,0,0,NA,"0.29"
2020,"DEN",5,11,0,0,NA,"0.04"
2020,"DET",5,11,0,0,NA,"0.04"
2020,"GB",13,3,0,1,"CON","99.93"
2020,"HOU",4,12,0,0,NA,"0.01"
2020,"IND",11,5,0,1,"WC","97.07"
2020,"JAX",1,15,0,0,NA,"0.00"
2020,"KC",14,2,0,1,"SB","99.99"
2020,"LA",10,6,0,1,"DIV","83.60"
2020,"LAC",7,9,0,0,NA,"1.82"
2020,"LV",8,8,0,0,NA,"10.77"
2020,"MIA",10,6,0,0,NA,"83.60"
2020,"MIN",7,9,0,0,NA,"1.82"
2020,"NE",7,9,0,0,NA,"1.82"
2020,"NO",12,4,0,1,"DIV","99.54"
2020,"NYG",6,10,0,0,NA,"0.29"
2020,"NYJ",2,14,0,0,NA,"0.00"
2020,"PHI",4,11,1,0,NA,"0.01"
2020,"PIT",12,4,0,1,"WC","99.54"
2020,"SEA",12,4,0,1,"WC","99.54"
2020,"SF",6,10,0,0,NA,"0.29"
2020,"TB",11,5,0,1,"CHMP","97.07"
2020,"TEN",11,5,0,1,"WC","97.07"
2020,"WAS",7,9,0,1,"WC","1.82"
